Index,Xco2,Latitude,Longitude,quality_flag,DateTime,Year,Month,Day
1,394.5,32.16,-124.4,0,23:44.7,2014,9,10
2,395.2,33.62,-124.9,0,24:11.3,2014,9,10
3,396.5,34.22,-118.1,0,09:39.3,2014,9,12
4,399,34.16,-118.1,0,09:50.7,2014,9,12
5,398.5,34.2,-118.2,0,10:09.4,2014,9,12
6,397.8,34.22,-118.2,0,10:14.8,2014,9,12
7,400.5,34.2,-118.2,0,10:19.1,2014,9,12
8,399,34.16,-118.06,0,10:35.3,2014,9,12
9,398,34.2,-118.1,0,10:39.1,2014,9,12
10,399,34.2,-118.2,0,10:42.4,2014,9,12
11,398.5,34.2,-118.2,0,10:46.8,2014,9,12
12,400.2,34.2,-118.1,0,10:50.0,2014,9,12
13,399.5,34.16,-118.1,0,10:53.0,2014,9,12
14,398.5,34.16,-118.1,0,11:05.0,2014,9,12
15,398,34.16,-118.2,0,11:07.8,2014,9,12
16,399,34.2,-118.1,0,11:10.7,2014,9,12
17,398,34.2,-118.2,0,11:14.4,2014,9,12
18,397.2,34.2,-118.2,0,11:17.8,2014,9,12
19,400,34.16,-118.1,0,11:20.7,2014,9,12
20,399,34.16,-118.1,0,11:23.0,2014,9,12
21,399.8,34.12,-118.1,0,11:26.7,2014,9,12
22,398.5,34.12,-118.06,0,11:32.7,2014,9,12
23,399,34.16,-118.1,0,11:35.4,2014,9,12
24,397.5,34.16,-118.1,0,11:37.7,2014,9,12
25,398.8,34.2,-118.2,0,11:40.4,2014,9,12
26,399,34.2,-118.2,0,11:44.8,2014,9,12
27,398.2,34.2,-118.1,0,11:48.4,2014,9,12
28,397,34.16,-118.1,0,11:51.1,2014,9,12
29,399.2,34.16,-118.06,0,11:53.3,2014,9,12
30,399,34.12,-118.06,0,11:56.3,2014,9,12
31,399,34.12,-118.06,0,12:00.3,2014,9,12
32,398.8,34.12,-118.1,0,12:03.7,2014,9,12
33,397.8,34.16,-118.2,0,12:05.8,2014,9,12
34,398,34.2,-118.1,0,12:08.3,2014,9,12
35,397.5,34.22,-118.2,0,12:11.8,2014,9,12
36,397.5,34.22,-118.2,0,12:16.8,2014,9,12
37,397.8,34.2,-118.1,0,12:20.3,2014,9,12
38,398.2,34.16,-118.1,0,12:22.8,2014,9,12
39,399,34.12,-118.06,0,12:25.0,2014,9,12
40,399.8,34.1,-118.1,0,12:28.3,2014,9,12
41,400,34.12,-118.06,0,12:33.0,2014,9,12
42,399,34.16,-118.06,0,12:35.3,2014,9,12
43,397.8,34.2,-118.1,0,12:37.7,2014,9,12
44,397,34.22,-118.2,0,12:48.1,2014,9,12
45,399,34.16,-118.2,0,12:51.8,2014,9,12
46,400,34.12,-118.06,0,12:54.0,2014,9,12
47,401.2,34.06,-118.06,0,12:58.3,2014,9,12
48,396.8,34.12,-118.1,0,03:44.0,2014,9,21
49,396.5,34.16,-118.1,0,03:46.7,2014,9,21
50,396.8,34.22,-118.2,0,03:50.4,2014,9,21
51,396.8,34.2,-118.2,0,03:58.1,2014,9,21
52,395.8,34.16,-118.06,0,04:01.3,2014,9,21
53,396.5,34.12,-118.1,0,04:04.0,2014,9,21
54,397,34.1,-118.1,0,04:10.3,2014,9,21
55,397.5,34.12,-118.1,0,04:14.0,2014,9,21
56,396,34.2,-118.06,0,04:16.7,2014,9,21
57,396.5,34.2,-118.2,0,04:19.4,2014,9,21
58,395.2,34.22,-118.2,0,04:24.1,2014,9,21
59,396.8,34.2,-118.1,0,04:28.0,2014,9,21
60,396.5,34.16,-118.2,0,04:30.8,2014,9,21
61,397.2,34.12,-118.2,0,04:33.1,2014,9,21
62,397,34.12,-118.1,0,04:35.8,2014,9,21
63,397.2,34.1,-118.1,0,04:39.4,2014,9,21
64,397.5,34.12,-118.1,0,04:42.8,2014,9,21
65,396.8,34.16,-118.06,0,04:45.3,2014,9,21
66,397.5,34.2,-118.1,0,04:48.0,2014,9,21
67,396,34.2,-118.1,0,04:51.3,2014,9,21
68,397,34.2,-118.1,0,04:55.0,2014,9,21
69,396.2,34.2,-118.1,0,04:58.4,2014,9,21
70,397.2,34.16,-118.2,0,05:01.1,2014,9,21
71,397,34.16,-118.06,0,05:03.7,2014,9,21
72,397.8,34.12,-118.1,0,05:06.0,2014,9,21
73,397,34.12,-118.1,0,05:10.3,2014,9,21
74,397.2,34.12,-118.1,0,05:13.4,2014,9,21
75,396.8,34.16,-118.1,0,05:16.1,2014,9,21
76,395.8,34.2,-118.2,0,05:18.8,2014,9,21
77,396.8,34.2,-118.1,0,05:22.3,2014,9,21
78,396.5,34.2,-118.1,0,05:26.1,2014,9,21
79,397,34.16,-118.2,0,05:29.4,2014,9,21
80,397,34.16,-118.1,0,05:32.3,2014,9,21
81,397.2,34.12,-118.06,0,05:35.0,2014,9,21
82,397.2,34.12,-118.06,0,05:39.3,2014,9,21
83,396.2,34.12,-118.1,0,05:42.8,2014,9,21
84,397.2,34.16,-118.06,0,05:45.3,2014,9,21
85,396,34.2,-118.2,0,05:48.1,2014,9,21
86,396.8,34.2,-118.2,0,05:52.1,2014,9,21
87,394.5,34.2,-118.1,0,05:56.7,2014,9,21
88,396,34.16,-118.1,0,06:00.4,2014,9,21
89,396.8,34.12,-118.2,0,06:02.8,2014,9,21
90,397.5,34.12,-118.1,0,06:06.0,2014,9,21
91,397,34.1,-118.1,0,06:10.8,2014,9,21
92,396,34.12,-118.1,0,06:14.1,2014,9,21
93,397.2,34.2,-118.1,0,06:17.0,2014,9,21
94,396,34.2,-118.2,0,06:20.4,2014,9,21
95,396,34.22,-118.1,0,06:27.8,2014,9,21
96,396.5,34.16,-118.1,0,06:31.1,2014,9,21
97,397.8,34.12,-118.06,0,06:34.3,2014,9,21
98,397,34.1,-118.2,0,06:41.1,2014,9,21
99,397.5,34.16,-118.1,0,06:45.3,2014,9,21
100,396.2,34.2,-118.2,0,06:48.4,2014,9,21
101,397.8,34.2,-118.1,0,07:00.7,2014,9,21
102,395.8,35.2,-118.06,0,54:03.7,2014,9,23
103,395.5,35.34,-118.06,0,54:07.1,2014,9,23
104,395.8,35.44,-118.06,0,54:09.1,2014,9,23
105,395.2,35.66,-118.1,0,54:12.8,2014,9,23
106,395.2,35.97,-118.3,0,54:18.0,2014,9,23
107,396,36.12,-118.3,0,54:21.0,2014,9,23
108,394.8,36.9,-118.6,0,54:35.0,2014,9,23
109,394.5,37.3,-118.75,0,54:42.7,2014,9,23
110,395,37.66,-118.9,0,54:49.3,2014,9,23
111,392.8,37.78,-118.9,0,54:51.8,2014,9,23
112,395.2,37.9,-118.94,0,54:54.1,2014,9,23
113,393.2,38.16,-119,0,54:58.4,2014,9,23
114,393.5,38.28,-119.06,0,55:00.8,2014,9,23
115,395.8,38.4,-119.1,0,55:03.4,2014,9,23
116,392.8,38.53,-119.1,0,55:05.4,2014,9,23
117,395.2,38.72,-119.25,0,55:08.8,2014,9,23
118,395.5,38.97,-119.3,0,55:13.8,2014,9,23
119,396.2,39.2,-119.44,0,55:17.8,2014,9,23
120,398.5,34.06,-118.06,0,03:31.7,2014,10,7
121,400,34.1,-118.06,0,03:34.0,2014,10,7
122,398.2,34.1,-118.1,0,03:36.1,2014,10,7
123,399,34.16,-118.1,0,03:38.4,2014,10,7
124,396.8,34.2,-118.2,0,03:41.8,2014,10,7
125,398,34.2,-118.2,0,03:51.4,2014,10,7
126,398.2,34.16,-118.06,0,03:54.3,2014,10,7
127,399.2,34.12,-118.06,0,03:57.0,2014,10,7
128,399.8,34.1,-118.06,0,03:59.7,2014,10,7
129,400,34.1,-118.06,0,04:02.3,2014,10,7
130,398.8,34.1,-118.1,0,04:05.4,2014,10,7
131,397.2,34.16,-118.06,0,04:08.3,2014,10,7
132,398,34.2,-118.1,0,04:11.3,2014,10,7
133,396.8,34.22,-118.2,0,04:16.8,2014,10,7
134,398,34.2,-118.2,0,04:20.8,2014,10,7
135,397,34.16,-118.06,0,04:23.7,2014,10,7
136,398.2,34.12,-118.1,0,04:26.1,2014,10,7
137,399,34.12,-118.06,0,04:28.7,2014,10,7
138,398.5,34.1,-118.1,0,04:31.1,2014,10,7
139,398.2,34.1,-118.2,0,04:33.4,2014,10,7
140,398,34.12,-118.1,0,04:35.7,2014,10,7
141,398.8,34.16,-118.1,0,04:37.7,2014,10,7
142,398.2,34.2,-118.1,0,04:40.0,2014,10,7
143,397.8,34.2,-118.1,0,04:43.0,2014,10,7
144,397,34.2,-118.2,0,04:47.1,2014,10,7
145,397.5,34.2,-118.2,0,04:50.8,2014,10,7
146,398.2,34.16,-118.2,0,04:53.4,2014,10,7
147,397.2,34.16,-118.06,0,04:55.7,2014,10,7
148,398.5,34.12,-118.1,0,04:57.7,2014,10,7
149,398.5,34.1,-118.2,0,04:59.8,2014,10,7
150,398.8,34.1,-118.2,0,05:02.1,2014,10,7
151,398.8,34.12,-118.1,0,05:04.3,2014,10,7
152,400.2,34.12,-118.1,0,05:06.4,2014,10,7
153,399,34.16,-118.06,0,05:08.7,2014,10,7
154,397.8,34.2,-118.1,0,05:11.0,2014,10,7
155,396,34.22,-118.1,0,05:14.7,2014,10,7
156,397.2,34.2,-118.2,0,05:19.8,2014,10,7
157,398.5,34.16,-118.2,0,05:22.8,2014,10,7
158,398.5,34.16,-118.1,0,05:25.0,2014,10,7
159,397.5,34.12,-118.06,0,05:27.3,2014,10,7
160,398,34.12,-118.1,0,05:29.3,2014,10,7
161,399,34.12,-118.1,0,05:32.4,2014,10,7
162,396.5,34.12,-118.06,0,05:34.7,2014,10,7
163,398,34.16,-118.1,0,05:36.7,2014,10,7
164,397.5,34.16,-118.1,0,05:38.8,2014,10,7
165,397.2,34.2,-118.1,0,05:41.7,2014,10,7
166,396,34.22,-118.1,0,05:46.0,2014,10,7
167,396.8,34.2,-118.2,0,05:50.4,2014,10,7
168,398,34.16,-118.06,0,05:53.7,2014,10,7
169,397.8,34.12,-118.1,0,05:55.7,2014,10,7
170,398,34.12,-118.1,0,05:57.8,2014,10,7
171,398.8,34.12,-118.06,0,06:00.0,2014,10,7
172,397.8,34.1,-118.1,0,06:02.8,2014,10,7
173,398,34.12,-118.06,0,06:05.0,2014,10,7
174,398.2,34.12,-118.1,0,06:07.1,2014,10,7
175,397.8,34.16,-118.1,0,06:09.3,2014,10,7
176,395.8,34.22,-118.2,0,06:13.4,2014,10,7
177,397.8,34.16,-118.06,0,06:23.7,2014,10,7
178,397.5,34.12,-118.06,0,06:26.0,2014,10,7
179,400,34.1,-118.06,0,06:28.0,2014,10,7
180,398.5,34.1,-118.1,0,06:30.1,2014,10,7
181,399.2,34.1,-118.06,0,06:32.3,2014,10,7
182,398.8,34.1,-118.1,0,06:34.3,2014,10,7
183,398.2,34.12,-118.1,0,06:36.7,2014,10,7
184,397.8,34.16,-118.1,0,06:39.0,2014,10,7
185,399.2,34.12,-118.1,0,06:54.8,2014,10,7
186,399,34.1,-118.06,0,06:57.0,2014,10,7
187,399,34.06,-118.06,0,06:59.7,2014,10,7
188,402,34.1,-118.1,0,08:48.0,2014,10,30
189,404.8,34.1,-118.06,0,08:50.3,2014,10,30
190,401.2,34.06,-118.1,0,08:52.7,2014,10,30
191,402.8,34.06,-118.1,0,08:55.0,2014,10,30
192,405,34.12,-118.06,0,08:57.3,2014,10,30
193,404.5,34.16,-118.1,0,08:59.7,2014,10,30
194,400.2,34.2,-118.2,0,09:03.1,2014,10,30
195,402.8,34.16,-118.2,0,09:14.8,2014,10,30
196,402.5,34.12,-118.2,0,09:17.1,2014,10,30
197,402.2,34.1,-118.1,0,09:19.3,2014,10,30
198,400.5,34.1,-118.2,0,09:21.4,2014,10,30
199,404.2,34.1,-118.06,0,09:24.0,2014,10,30
200,403.8,34.1,-118.1,0,09:26.0,2014,10,30
201,403.8,34.12,-118.2,0,09:28.4,2014,10,30
202,402,34.16,-118.1,0,09:31.1,2014,10,30
203,401.8,34.16,-118.06,0,09:44.7,2014,10,30
204,403.8,34.12,-118.2,0,09:46.8,2014,10,30
205,404,34.12,-118.1,0,09:49.0,2014,10,30
206,403.5,34.1,-118.1,0,09:51.8,2014,10,30
207,405.2,34.12,-118.06,0,09:54.7,2014,10,30
208,405.8,34.12,-118.06,0,09:57.0,2014,10,30
209,405,34.16,-118.1,0,09:59.3,2014,10,30
210,402.8,34.16,-118.1,0,10:14.7,2014,10,30
211,405.8,34.12,-118.1,0,10:17.7,2014,10,30
212,405,34.12,-118.1,0,10:20.0,2014,10,30
213,404.8,34.12,-118.1,0,10:22.7,2014,10,30
